id,category,question,complexity,key_challenge,data_available,data_gap,response,sql_used,pipeline_mode,elapsed_ms,error
POP1,Undiagnosed Risk Identification,Find all patients of mine with a BMI > 30 who have not been diagnosed with Type II Diabetes but have elevated HbA1c or fasting glucose.,Inference,Multi-criterion negative + lab logic,True,,"0 patients. The limiting factor was the presence of Type II Diabetes, which was required but not found in any patients.","Condition present=['Type II Diabetes'], absent=['Type II Diabetes']",population_sql,20214,
POP2,Undiagnosed Risk Identification,Which of my patients have eGFR < 60 for more than one year but have no CKD diagnosis code in their record?,Inference,Undiagnosed CKD detection,True,,"0 patients. The limiting factor was the presence of a CKD diagnosis code, which was excluded.","Condition present=['CKD diagnosis'], absent=['CKD diagnosis']",population_sql,19590,
POP3,Undiagnosed Risk Identification,Find all hypertensive patients with no documented antihypertensive prescriptions in the past 6 months.,Inference,Treatment gap + medication absence,False,No prescriptions/medications table in llm_ua_enterprise,"4 patients have the condition of being hypertensive. 0 patients have the observation of antihypertensive prescriptions documented in the past 6 months. 4 patients have the condition of being hypertensive but no matching observation on record. 

context_note: 4 patient(s) have the condition; 0 have the observation documented; 4 have the condition but no matching observation on record.","Absence check: cond=['hypertensive', 'hypertension'], obs_absent=['antihypertensive prescriptions'], date=>= DATE_SUB(NOW(), INTERVAL 6 MONTH)",population_sql,26150,
POP4,Undiagnosed Risk Identification,Which of my patients have had three or more ED visits in the past year for cardiac complaints but no cardiology referral?,Inference,High-utilisation care gap,False,Encounters table only has AMB (ambulatory) class; no ED visits or referral data,0 patients have been seen at 3 or more different hospitals in the specified period. No patient in this cohort has reached that threshold.,"Cross-hospital: min_h=3, contradiction=False",population_sql,13620,
POP5,Undiagnosed Risk Identification,Identify patients over 65 with a COPD diagnosis and no documented spirometry in the past two years.,Inference,Surveillance gap identification,True,,"3 patients have COPD and are over 65. 

The patients are Mason Lewis (000000003), Mia Scott (000000007), and Lincoln Gray (000000048).

No patients have documented spirometry in the past two years.

The context note is: 3 patient(s) have the condition; 0 have the observation documented; 3 have the condition but no matching observation on record.","Absence check: cond=['copd', 'chronic obstructive'], obs_absent=['spirometry'], date=None",population_sql,24878,
POP6,Comorbidity Clustering and Multimorbidity,"How many of my patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad)?",Synthesis,Multi-condition co-occurrence query,True,,"0 patients have a combination of cardiovascular disease, Type II Diabetes, and CKD (the cardiorenal-metabolic triad). 

- cardiovascular disease: this condition is not documented in this cohort's EHR
- type ii diabetes: this condition is not documented in this cohort's EHR
- ckd: 1 patient(s) — Lincoln Gray...","Intersection of conditions: ['cardiovascular disease', 'type ii diabetes', 'ckd']",population_sql,24300,
POP7,Comorbidity Clustering and Multimorbidity,What is the most common two-condition comorbidity pair across my patient panel?,Synthesis,Population-level co-occurrence ranking,True,,"The most common two-condition comorbidity pair across the patient panel is 'Chronic obstructive lung disease (disorder)' and 'Hyperlipidemia (disorder)', co-occurring in 3 patient(s): Mason Lewis, Lincoln Gray, Dominic Webb.",Pairwise condition co-occurrence across cohort,population_sql,22151,
POP8,Comorbidity Clustering and Multimorbidity,Which patients in my panel have five or more active chronic conditions across at least three disease categories?,Synthesis,Multimorbidity index computation,True,,10 patients have 5 or more documented active conditions.,Multimorbidity >= 5 conditions,population_sql,17587,
POP9,Comorbidity Clustering and Multimorbidity,How many patients with heart failure also have an active depression diagnosis?,Synthesis,Cross-category comorbidity detection,True,,"0 patients have both heart failure and an active depression diagnosis. The limiting factor was the absence of heart failure documentation in the cohort's EHR. 

Context note: This result is based on the structured data provided and may not reflect the actual clinical scenario.","Intersection of conditions: ['heart failure', 'depression']",population_sql,20908,
POP10,Comorbidity Clustering and Multimorbidity,Group my diabetic patients by glycaemic control status (controlled vs. uncontrolled) and summarise their other comorbidities.,Synthesis,Sub-cohort stratification + analytics,True,,0 patients. The limiting factor was the absence of 'condition_patients' data.,"Stratification: obs=['glycaemic control'], cond=['diabetic']",population_sql,17464,
